material,harga,tingkat_kekritisan,rutin_nonrutin,2019,ROQ
FILTER;OIL;1527499289D,574200,C,NON RUTIN,0,0
FILTER;OIL;1527499386D,1438800,C,NON RUTIN,0,0
FILTER;OIL;32925346,1650000,C,NON RUTIN,0,0
FILTER;OIL;32B4020100,217800.00000000003,C,NON RUTIN,0,0
FILTER;OIL;6002111231,594000,C,NON RUTIN,0,0
FILTER;WATER;5MICRON,130020.00000000001,C,NON RUTIN,45,12.75
UNIV ACC;PRIMARY BELT CLEANER 1400MM,66000000,C,NON RUTIN,0,0
UNIV ACC;SECONDARY BELT CLEANER 1400MM,55000000,C,NON RUTIN,0,0
FILTER;FUEL;FS2075,700000,C,NON RUTIN,0,0
FILTER;AIR;23X1540MM,453100,C,NON RUTIN,0,0
FILTER;AIR;50X1200MM,531900,C,NON RUTIN,0,0
FILTER;AIR;50X1500MM,541750,C,NON RUTIN,0,0
FILTER;AIR;50X700MM,394000,C,NON RUTIN,0,0
FILTER;AIR;DD 210 NPT 1 1/2,17500000,C,NON RUTIN,0,0
FILTER;AIR;PD 210 NPT 1 1/2,17500000,C,NON RUTIN,0,0
FILTER;AIR;AF25278 3630778,2600000,C,NON RUTIN,4,1.1333333333333333
FILTER;AIR;50X39.8X1.8CM,5745500,C,NON RUTIN,2,2.2666666666666666
FILTER;AIR;56X28.3X1.3CM,62946000,C,NON RUTIN,0,0
FILTER;AIR;62.8X39.8X1.8CM,5440000,C,NON RUTIN,2,3.4
FILTER;AIR;AF2075,350000,C,NON RUTIN,0,0
FILTER;OIL;C8612100,2100000,C,NON RUTIN,0,0
FILTER;OIL;UN08A150W1,6300000,C,NON RUTIN,2,0.8499999999999999
ACTUATOR;MOTOR;A0000012A;48RPM,NA,NA,NON RUTIN,0,NA
END PULLEY;DYN;BHP300;DS10341,8625000,C,NON RUTIN,0,0
END PULLEY;DYN;BHP300;3020PB180X675,6000000,C,NON RUTIN,0,0
SLEEVE;TRS;MMTV2005;5240,31444600.000000004,C,NON RUTIN,0,0
SLEEVE;TRS;MMTV2005;52901,26100000,C,NON RUTIN,0,0
SLEEVE;TRS;MMTV2005;52902,28600000,C,NON RUTIN,0,0
SLEEVE;TRS;MMTV2005;52903,22850000,C,NON RUTIN,0,0
SLEEVE;TRS;MMTV2005;52904,23791900.000000004,C,NON RUTIN,0,0
SUB SHFT BEAR;DMW;VPFCM;B164,52571200.00000001,C,NON RUTIN,4,1.1333333333333333
NZL GEAR BOX;ARP;GSG75;C301501972,2820000,C,NON RUTIN,0,0
TRANS ACC;CHAIN DID-80 80mm,435462.50000000006,C,NON RUTIN,0,0
TRANS ACC;CHAIN RS-120 120mm,15400000.000000002,C,NON RUTIN,0,0
TRANS ACC;CHAIN RS-200 200mm,5885000,B,NON RUTIN,0,0
TRANS ACC;GEAR SSM-250 250mm,16582500,B,NON RUTIN,0,0
TRANS ACC;SPROCKET CHAIN DBC-200 200mm,2734600,C,NON RUTIN,0,0
TRANS ACC;SPROCKET CHAIN DBG-120 120mm,825000.0000000001,C,NON RUTIN,0,0
TRANS ACC;SPROCKET CHAIN 50 50mm,385000.00000000006,C,NON RUTIN,3,0.85
TRANS ACC;SPROCKET CHAIN HC-160 160mm,2090000.0000000002,C,NON RUTIN,0,0
TRANS ACC;GEAR SSM-200 200mm,12276000,B,NON RUTIN,0,0
TRANS ACC;GEAR SSM-280 280mm,22176000,B,NON RUTIN,0,0
TRANS ACC;SPROCKET CHAIN 11T,3000000,B,NON RUTIN,0,0
TRANS ACC;GEAR NBR,12650000.000000002,C,NON RUTIN,0,0
"BOILER ACC;HEAD PULLEY 12-3/4""",95000000,B,NON RUTIN,0,0
UNIV ACC;COUPLING FLEX 5J,1000000,C,NON RUTIN,0,0
COUPLING ACC;RUBBER COUPLING R10-40R,2150000,C,NON RUTIN,1,0.2833333333333333
COUPLING ACC;COUPLING NORMEX 198X206MM,5950000,C,NON RUTIN,0,0
TRANS ACC;GEAR SSM-355,66726000,B,NON RUTIN,0,0
BOILER ACC;ADAPTOR GB LHYJS4C175YY2305,4410000,B,NON RUTIN,0,0
BOILER ACC;ADAPTOR GB LHYJS4A12DBYY1578,4410000,B,NON RUTIN,0,0
BOILER ACC;GEAR BOX LHYJS4C175YY2305,129801000,B,NON RUTIN,0,0
BOILER ACC;GEAR BOX LHYJS4A12DBYY1578,168898100,B,NON RUTIN,0,0
TRANS ACC;GEAR PINION SHC26 1'ST STAGE,68200000,C,NON RUTIN,0,0
TRANS ACC;GEAR PINION SHC26 3'RD STAGE,110000000,C,NON RUTIN,0,0
TRANS ACC;GEAR SHC26 3'RD,89000000,C,NON RUTIN,0,0
TRANS ACC;OFFSET LINK RS-200,2500000,C,NON RUTIN,0,0
COUPLING ACC;RUBBER COUPLING HSD TRNS PU,1860000,A,NON RUTIN,0,0
COUPLING ACC;RATHI SW150,2295000,C,NON RUTIN,0,0
TRANS ACC;CHAIN RS-200 2R 4500L,NA,NA,NON RUTIN,0,NA
TRANS ACC;CHAIN RS-200 2R 5100L,NA,NA,NON RUTIN,0,NA
TRANS ACC;CHAIN RS-160 1R 4925L,2540000,C,NON RUTIN,0,0
TRANS ACC;CHAIN RS-140 1R 5000L,2590000,C,NON RUTIN,3,0.625
GEAR BOX;HYC;SHC26;BKDE718,448000000,C,NON RUTIN,0,0
V-BELT;KAE;ASK27T;637760EL,1400000,C,NON RUTIN,0,0
V-BELT;VLV;FL10;0591020046,480000,C,NON RUTIN,0,0
V-BELT;VLV;FL10;3088LD17X3048LIBL20,550000,C,NON RUTIN,0,0
V-BELT;VLV;FL10;9180203600L827106,490000,C,NON RUTIN,0,0
UNIV ACC;V-BELT 63,126170.00000000001,C,NON RUTIN,0,0
UNIV ACC;V-BELT A33,25300.000000000004,C,NON RUTIN,4,1.1333333333333333
UNIV ACC;V-BELT A40,275000,C,NON RUTIN,0,0
UNIV ACC;V-BELT A47,37400,C,NON RUTIN,0,0
UNIV ACC;V-BELT A60,42900,C,NON RUTIN,0,0
UNIV ACC;V-BELT B85,66550,C,NON RUTIN,0,0
UNIV ACC;V-BELT C101,371910.00000000006,C,NON RUTIN,0,0
UNIV ACC;V-BELT SPZ 1250 LW,202400.00000000003,C,NON RUTIN,0,0
UNIV ACC;V-BELT VBS 3088,462000.00000000006,C,NON RUTIN,0,0
UNIV ACC;V-BELT SPC 2240,282150,C,NON RUTIN,0,0
UNIV ACC;V-BELT A42,275000,C,NON RUTIN,0,0
UNIV ACC;V-BELT 5V,371800,C,NON RUTIN,0,0
UNIV ACC;V-BELT DS10820,216700.00000000003,C,NON RUTIN,0,0
UNIV ACC;V-BELT 04122-22753,470000,C,NON RUTIN,0,0
UNIV ACC;V-BELT 05910-20046 W17.3-L1195,600000,C,NON RUTIN,0,0
UNIV ACC;V-BELT 21140-80077,410000,C,NON RUTIN,0,0
UNIV ACC;V-BELT 21140-96114,500000,C,NON RUTIN,0,0
UNIV ACC;V-BELT 6212-85-6840,545000,C,NON RUTIN,0,0
UNIV ACC;V-BELT 851121140-Z5617,44500,C,NON RUTIN,0,0
UNIV ACC;V-BELT 91421-06300,580000,C,NON RUTIN,0,0
UNIV ACC;V-BELT 91802-03600 W133-L1335,600000,C,NON RUTIN,0,0
UNIV ACC;V-BELT 99332-51245,560000,C,NON RUTIN,0,0
UNIV ACC;V-BELT REMF 6410,20000,C,NON RUTIN,0,0
UNIV ACC;V-BELT RPF 5780 15X1950 LI,188100,C,NON RUTIN,0,0
UNIV ACC;V-BELT SPB 2680 LW,315000,C,NON RUTIN,0,0
COUPLING ELASTOMER;ARP;GSG75;C301150009,1140000,C,NON RUTIN,0,0
"SHAFT;ROTOR;1 15/16""",11000000,B,NON RUTIN,0,0
"SHAFT;SS316;1/2""X540MM",4600000,C,NON RUTIN,0,0
ACTUATOR;MOTOR;;213050413,43000000,C,NON RUTIN,0,0
ACTUATOR;MOTOR;SA6E45;,64300500,C,NON RUTIN,0,0
ACTUATOR;MOTOR;SG05.1-16SEC;40,119400000,C,NON RUTIN,2,0.5666666666666667
BEAR;DOD;MERRICK490G;020261,3115000,B,RUTIN,0,0
BEAR;DOD;MERRICK490G;B1091,2850000,B,RUTIN,0,0
BEAR;DOD;MERRICK490G;B606,2210000,B,RUTIN,2,1.7
BEAR;DOD;MERRICK490G;BRNG31136071XXX,3110000,B,RUTIN,0,0
BEAR;FMC;2118AB950;1102264,25300000,B,NON RUTIN,0,0
BEAR;FMC;2118AZ1334;1102263,44000000,B,NON RUTIN,0,0
BEAR;DOD;63000604D3;124413,1849540.0000000002,B,NON RUTIN,0,0
BEAR;DOD;63000604D3;124212,1836010.0000000002,B,NON RUTIN,24,6.8
O-SEAL;NFM;63000604D3;417507,761200.0000000001,B,RUTIN,4,1.1333333333333333
BEAR;PBR;MERRICK490G;FT205,137500,B,NON RUTIN,4,1.1333333333333333
BEARING;TIM;17580;SH1513,695000,C,NON RUTIN,0,0
COMP;ACP;ZR30;2901067300,1644500.0000000002,C,NON RUTIN,0,0
BEAR;DYN;BHP300;DS10339,40120850,C,NON RUTIN,0,0
BEAR;SKF;CPC25040;7308BDB,1420000,C,NON RUTIN,0,0
BEAR;SKF;CPC25040;7315BDB,2510000,C,NON RUTIN,0,0
BEAR;SKF;MHG411;AXK100135,465000,C,NON RUTIN,1,0.2833333333333333
BEAR;SKF;T1K;7230BCB,29750000,C,NON RUTIN,0,0
BEAR:REN:T1K:4W1D64729H698,47630000.00000001,C,NON RUTIN,0,0
BEAR:REN:T1K:4W1D64729H701,47630000.00000001,C,NON RUTIN,0,0
BEAR:REN:T1K:4W1D64729H027,47630000.00000001,C,NON RUTIN,0,0
BEAR:REN:T1K:4W1D64729H043,47630000.00000001,C,NON RUTIN,0,0
BEAR SLEEVE;DMW;VPFCM;R234,15919200.000000002,C,NON RUTIN,0,0
BEAR;TRS;MMTV2005;54501,21500000,C,NON RUTIN,0,0
BEAR;TRS;MMTV2005;54502,24000000,C,NON RUTIN,0,0
BEAR;TRS;MMTV2005;54503,22000000,C,NON RUTIN,0,0
GLAND PACKING;PLR;MMTV2005;4510,2909500.0000000005,C,NON RUTIN,0,0
BEAR SLEEVE;DMW;10VPFCM;R233,20309300,C,NON RUTIN,0,0
BEAR;ARP;GSG75;C21406037SK,1970000,C,NON RUTIN,0,0
BEAR BUSH;KIR;KPDS3216;351,5816800.000000001,C,NON RUTIN,0,0
BEAR BUSH;KIR;KPDS3216;353,6083000.000000001,C,NON RUTIN,0,0
BEAR BUSH;KIR;KPDS5016;3510KPDS5016,6207300.000000001,C,NON RUTIN,0,0
BEAR BUSH;KIR;KPDS5016;3530KPDS5016,6207300.000000001,C,NON RUTIN,0,0
BEAR BUSH;KIR;KPDS8016;3510KPDS8016,12400000,C,NON RUTIN,0,0
BEAR BUSH;KIR;KPDS8016;3530KPDS8016,21500000,C,NON RUTIN,0,0
CASE WEAR;KIR;KPDS5016;1900KPDS5016,5852000.000000001,C,NON RUTIN,0,0
CASE WEAR;KIR;KPDS8016;1900KPDS8016,23500000,C,NON RUTIN,0,0
IMP WEAR RING;KIR;KPDS8016;1920KPDS8016,23500000,C,NON RUTIN,0,0
O-RING;KIR;KPDS5016;5230KPDS5016,627000,C,NON RUTIN,0,0
O-RING;KIR;KPDS8016;5230KPDS8016,620000,C,NON RUTIN,0,0
SCREW COUP;KIR;KPDS5016;3950KPDS5016,8464500,C,NON RUTIN,0,0
SCREW COUP;KIR;KPDS8016;3950KPDS8016,18500000,C,NON RUTIN,0,0
SHFT SLEEVE;KIR;KPDS5016;3100KPDS5016,4702500,C,NON RUTIN,0,0
SHFT SLEEVE;KIR;KPDS5016;3110KPDS5016,4702500,C,NON RUTIN,0,0
SHFT SLEEVE;KIR;KPDS8016;3100KPDS8016,9000000,C,NON RUTIN,0,0
SHFT SLEEVE;KIR;KPDS8016;3110KPDS8016,3700000,C,NON RUTIN,0,0
WEAR RING;KIR;KPDS5016;1920KPDS5016,5852000.000000001,C,NON RUTIN,0,0
GRV BALL BEAR;KIR;KPDS3216;2601,5109900,C,NON RUTIN,0,0
ADAPTER SLEEVE;H311,406700,C,NON RUTIN,0,0
ADAPTER SLEEVE;H313,736000,C,NON RUTIN,2,0.8888888888888888
ADAPTER SLEEVE;H3144,26590000,B,NON RUTIN,0,0
ADAPTER SLEEVE;H315,1158000,C,NON RUTIN,0,0
ADAPTER SLEEVE;H318,1741000,C,NON RUTIN,4,1.7777777777777777
ADAPTER SLEEVE;KM20,843000,C,NON RUTIN,0,0
BEARING;BALL;6202-2Z,89500,C,NON RUTIN,0,0
BEARING;BALL;6203-2Z,115000,C,RUTIN,2,1.4166666666666667
BEARING;BALL;6204-2Z,169400,C,RUTIN,50,14.166666666666668
BEARING;BALL;6206-2Z,275000,C,RUTIN,2,3.1166666666666663
BEARING;BALL;6206-2Z/C3,97350.00000000001,C,NON RUTIN,0,0
BEARING;BALL;6207-2Z,240000,C,NON RUTIN,0,0
BEARING;BALL;6209-2Z,841500.0000000001,C,NON RUTIN,3,0.85
BEARING;BALL;6211,470000,C,NON RUTIN,0,0
BEARING;BALL;6212-2Z,742500.0000000001,C,NON RUTIN,0,0
BEARING;BALL;6220,3300000.0000000005,C,NON RUTIN,0,0
BEARING;BALL;6302-2Z,143000,C,NON RUTIN,0,0
BEARING;BALL;6305-2Z,210000,C,RUTIN,4,1.1333333333333333
BEARING;BALL;6306-2Z,181500.00000000003,C,NON RUTIN,0,0
BEARING;BALL;6306-Z,300000,C,NON RUTIN,0,0
BEARING;BALL;6307-2Z,375000,C,NON RUTIN,0,0
BEARING;BALL;6307-Z,250000,C,NON RUTIN,0,0
BEARING;BALL;6308,480000,C,NON RUTIN,3,0.85
BEARING;BALL;6308-2Z,495000,C,NON RUTIN,2,0.85
BEARING;BALL;6308-2Z/C3,765000,C,NON RUTIN,0,0
BEARING;BALL;6309-2Z,553300,C,NON RUTIN,0,0
BEARING;BALL;6309-2Z/C3,840400.0000000001,C,NON RUTIN,0,0
BEARING;BALL;6310/C3,761500,C,RUTIN,0,0
BEARING;BALL;6310-2Z,907500.0000000001,C,NON RUTIN,0,0
BEARING;BALL;6311/C3,985000,C,NON RUTIN,0,0
BEARING;BALL;6311-2Z,1100000,C,NON RUTIN,0,0
BEARING;BALL;6312/C3,1230000,C,NON RUTIN,0,0
BEARING;BALL;6312-2Z,1210000,C,NON RUTIN,0,0
BEARING;BALL;6313,1540000.0000000002,C,NON RUTIN,0,0
BEARING;BALL;6313-2Z,1840000,C,RUTIN,0,0
BEARING;BALL;6314/C4,2750000,C,NON RUTIN,0,0
BEARING;BALL;6315,2112000,C,NON RUTIN,0,0
BEARING;BALL;6315-2Z,2880000,C,NON RUTIN,0,0
BEARING;BALL;6316/C3,2310000,B,NON RUTIN,0,0
BEARING;BALL;6410/C3,2150000,C,RUTIN,0,0
BEARING;BALL;7206 B,6448400,C,NON RUTIN,0,0
BEARING;BALL;7206 BECBP,1120000,C,NON RUTIN,1,0.5666666666666667
BEARING;BALL;7207 BECBP,1270000,C,NON RUTIN,0,0
BEARING;BALL;7218,3480000,C,NON RUTIN,0,0
BEARING;BALL;7309 A,1606605.0000000002,C,NON RUTIN,0,0
BEARING;BALL;7310 BECBP,2680000,C,NON RUTIN,0,0
BEARING;CYL ROLLER;NU 206 ECP,495467.5,C,NON RUTIN,0,0
BEARING;CYL ROLLER;NU 218 ECP,5000000,C,NON RUTIN,0,0
BEARING;CYL ROLLER;NU 413,5160590,C,RUTIN,1,0.2833333333333333
BEARING;SPHERICAL ROLLER;22211 EK,2303000,C,NON RUTIN,0,0
BEARING;SPHERICAL ROLLER;22213 K,3045000,C,NON RUTIN,2,0.8888888888888888
BEARING;SPHERICAL ROLLER;22217 K,3084180.0000000005,B,NON RUTIN,0,0
BEARING;SPHERICAL ROLLER;22218 K,5572000,C,NON RUTIN,4,1.7777777777777777
BEARING;SPHERICAL ROLLER;22311 E,4372000,C,NON RUTIN,0,0
BEARING;SPHERICAL ROLLER;23144 BK,65650000,B,NON RUTIN,0,0
BEARING;TAPER ROLLER;21317,10099000,C,NON RUTIN,0,0
BEARING;TAPER ROLLER;23026,11989000,C,NON RUTIN,0,0
BEARING;TAPER ROLLER;30209,522000,C,NON RUTIN,0,0
BEARING;TAPER ROLLER;30213,1498000,C,NON RUTIN,0,0
BEARING;TAPER ROLLER;30309,859000,C,NON RUTIN,0,0
BEARING;TAPER ROLLER;32215,1412000,C,NON RUTIN,0,0
BEARING;BALL;6207-2Z/C3,330000,C,NON RUTIN,0,0
BEARING;BALL;6310-2Z/C3,1150000,C,NON RUTIN,0,0
BEARING;BALL;6316/C4,2650000,C,NON RUTIN,0,0
BEARING;RADIAL BALL;6309/C3,530200,C,NON RUTIN,0,0
BEARING;BALL;6209-Z/C3,477400.00000000006,C,NON RUTIN,0,0
BEARING;BALL;22334CCJA/W33VA405,62524000.00000001,C,NON RUTIN,0,0
BEARING;BALL;6303,105000,C,NON RUTIN,0,0
BEARING;BALL;6311-2Z/C3,1455000,C,NON RUTIN,0,0
BEARING HOUSING;SN 515,2626400,C,NON RUTIN,0,0
BEARING;BALL;22234CKJW33,31985000,B,NON RUTIN,0,0
BEARING;BALL;6313/MC3VL,6810000,C,NON RUTIN,0,0
BEARING;BALL;P205,530400,B,NON RUTIN,0,0
BEARING;BALL;3309,1550000,C,NON RUTIN,0,0
BEARING;BALL;3306-Z,992200.0000000001,C,NON RUTIN,0,0
BEARING;BALL;6217/C3,1320000,C,NON RUTIN,0,0
BEARING;BALL;7207,440000.00000000006,C,NON RUTIN,0,0
BEARING;BALL;7322/BG,23100000.000000004,C,NON RUTIN,0,0
BEARING;CYL ROLLER;NU 309 ECP,785000,C,NON RUTIN,0,0
BEARING;ROLLER;NU 307,698500,C,NON RUTIN,0,0
SEAL;OIL;RUBBER;46X60X8,169000,C,RUTIN,0,0
BEARING;ROLLER;02474,1743500.0000000002,C,NON RUTIN,0,0
BEARING;ROLLER;HC3579R,1870000.0000000002,C,NON RUTIN,0,0
ADAPTER SLEEVE;H217,1150270,B,NON RUTIN,0,0
BEARING;BALL;6007-2Z,77000,C,NON RUTIN,0,0
BEARING;BALL;6220-2Z,2402400,C,NON RUTIN,0,0
BEARING;BALL;7310 BECBY,3940000,C,NON RUTIN,0,0
BEARING;HOUSING;780400000BF,39960000,C,NON RUTIN,0,0
BEARING;BALL;DRIVE SUJ2,4400000,C,NON RUTIN,0,0
BEARING;BALL;GEAR SUJ2,4400000,C,NON RUTIN,0,0
ADAPTER SLEEVE;KM22,2700000,C,NON RUTIN,0,0
BEARING HOUSING;SD 3144,78500000,C,NON RUTIN,0,0
BEARING;SPHERICAL ROLLER;22215 EK,3741000,C,NON RUTIN,0,0
BEARING;SPHERICAL ROLLER;22220 EK,7382000,C,NON RUTIN,0,0
BEARING;BALL;6117187,3210000,C,NON RUTIN,0,0
BEARING;BALL;61406-11YSX,4150000,C,NON RUTIN,0,0
BEARING;BALL;6219,2500000,C,NON RUTIN,0,0
BEARING;BALL;5310 AH,1690000,C,NON RUTIN,0,0
BEARING;BALL;7309 B,1590000,C,NON RUTIN,0,0
BEARING;ROLLER;BSD 260-16K 1207,10189300,B,NON RUTIN,0,0
BEARING;BALL;NJ 304 C3,930000,C,NON RUTIN,0,0
BEARING;TAPER ROLLER;32315,783000,C,NON RUTIN,0,0
ADAPTER SLEEVE;138X170MM SS316,16500000,C,NON RUTIN,0,0
BEARING;TAPER ROLLER;30313,565000,C,NON RUTIN,0,0
ADAPTER SLEEVE;KM20F38,1055000,C,NON RUTIN,0,0
BEARING;BALL;7315 BECBJ,7799605,C,NON RUTIN,2,0.41666666666666663
BEARING;SPHERICAL ROLLER;22222 CCK/W33,9150000,C,NON RUTIN,0,0
BEARING;FUJ;ST7B4364;ST110215FC4,6757500000,A,NON RUTIN,0,0
BEARING HOUSING;SN 511,1940400,C,NON RUTIN,0,0
BEARING HOUSING;SN 518,5373000,C,NON RUTIN,4,1.1333333333333333
BEARING HOUSING;SN 530,9240000,C,NON RUTIN,0,0
BEARING HOUSING;SNL 520-617,5258000,C,NON RUTIN,0,0
BEARING;BALL;SKF 6224/C3,4650000,C,NON RUTIN,0,0
BEARING;BALL;7309 BECBP,1595000.0000000002,C,NON RUTIN,0,0
BEARING HOUSING;SD3144FIX,52360000.00000001,C,NON RUTIN,0,0
BEARING HOUSING;SD3144FREE,52360000.00000001,C,NON RUTIN,0,0
BEARING HOUSING;UKT 213 DA,2250000,C,NON RUTIN,0,0
BEARING;SPHERICAL ROLLER;22309 E,3136000,C,NON RUTIN,0,0
GAS;MIX O2 50% + CO2 50%,4800000,C,NON RUTIN,0,0
GAS;MIX CO2 40% + CO2 60%,5700000,C,NON RUTIN,1,0.5888888888888888
ACTUATOR ACC;POSITIONER SIPART PS2,42000000,C,RUTIN,7,1.9833333333333334
UNIV ACC;ELECTRODE E308-16 2.6mm,135300,C,NON RUTIN,0,0
UNIV ACC;ELECTRODE E308-16 3.2mm,NA,NA,NON RUTIN,0,NA
UNIV ACC;ELECTRODE E312-16 2.6mm,258500.00000000003,C,NON RUTIN,0,0
UNIV ACC;ELECTRODE E312-16 3.2mm,132000,C,NON RUTIN,0,0
UNIV ACC;ELECTRODE E316-16 3.2mm,204160.00000000003,C,NON RUTIN,0,0
UNIV ACC;ELECTRODE E6013 3.2mm,44000,C,NON RUTIN,0,0
UNIV ACC;ELECTRODE E7016 2.6mm,75460,C,NON RUTIN,0,0
UNIV ACC;ELECTRODE E7016 3.2mm,66640,C,NON RUTIN,0,0
UNIV ACC;ELECTRODE ENi-Cl 2.5mm,2035000.0000000002,C,NON RUTIN,0,0
UNIV ACC;ELECTRODE ENi-Cl 3.2mm,735625,C,NON RUTIN,0,0
UNIV ACC;ELECTRODE E312-16 2.5mm,1309000,C,NON RUTIN,0,0
UNIV ACC;ELECTRODE E7016U 3.2mm,82995,C,NON RUTIN,0,0
UNIV ACC;ELECTRODE HV800 3.2mm,323235,C,NON RUTIN,0,0
UNIV ACC;ELECTRODE E7016U 2.6mm,68200,C,NON RUTIN,0,0
UNIV ACC;KAWAT LAS LB52 2.6MM,50500,C,NON RUTIN,0,0
UNIV ACC;KAWAT LAS LB52 3.2MM,59000,C,NON RUTIN,0,0
UNIV ACC;KAWAT LAS RB52 3.2MM,69000,C,NON RUTIN,0,0
TOOL M;HAND PUMP GREASE 25KG,3550000,C,NON RUTIN,0,0
TOOL E;THERMOMETER INFRARED,3000000,C,NON RUTIN,0,0
UNIV ACC;AGITATOR COAGULANT AID,35948000,C,NON RUTIN,0,0
REPAIR KIT;MAS;8821115;EA11A08341,5685000,C,NON RUTIN,0,0
TOOL M;CHAIN BLOCK 2 TON,3792250,C,NON RUTIN,0,0
TOOL M;CHAIN BLOCK 3 TON,7055950,C,NON RUTIN,0,0
TOOL M;SLING STEEL 10TON,2190000,C,NON RUTIN,0,0
TOOL M;SLING STEEL 2TON,1620000,C,NON RUTIN,0,0
UNIV ACC;MASTER CLUTCH NSN PKD,36750000,C,NON RUTIN,0,0
CONVEYOR ACC;BELT NN 100.800WX3PX6/4,1272700,C,NON RUTIN,0,0
CONVEYOR ACC;BELT NN 400.1000WX2PX6/3,1910700.0000000002,B,NON RUTIN,0,0
CONVEYOR ACC;BELT NN 400.1200WX3PX6/4,1915100.0000000002,C,NON RUTIN,0,0
CONVEYOR ACC;BELT NN 630.1300WX3PX5/2,2700000,B,NON RUTIN,0,0
CONVEYOR ACC;CARRIER IDLER 114X275X305mm,541200,C,RUTIN,0,0
CONVEYOR ACC;CARRIER IDLER 114X315X345mm,640000,C,NON RUTIN,0,0
CONVEYOR ACC;CARRIER IDLER 114X600X640mm,1366200,C,NON RUTIN,0,0
CONVEYOR ACC;CARRIER IDLER 139X240X280mm,1283700,C,NON RUTIN,0,0
CONVEYOR ACC;CARRIER IDLER 139X350X390mm,1202300,C,NON RUTIN,0,0
CONVEYOR ACC;CARRIER IDLER 139X420X460mm,1082000,C,NON RUTIN,0,0
CONVEYOR ACC;CARRIER IDLER 139X450X490mm,1335400,C,NON RUTIN,0,0
CONVEYOR ACC;CARRIER IDLER 139X900X930mm,2504700,C,NON RUTIN,0,0
CONVEYOR ACC;CARRIER IDLER 157X400X440mm,1202300,C,NON RUTIN,0,0
CONVEYOR ACC;CARRIER IDLER 171X500X540mm,4579300,C,NON RUTIN,0,0
CONVEYOR ACC;GUIDE 250 IDLER 63.5X8X35mm,2795100,C,NON RUTIN,0,0
CONVEYOR ACC;GUIDE 350 IDLER 92X8X35mm,3260400.0000000005,C,NON RUTIN,0,0
CONVEYOR ACC;IMPACT IDLER 115X275X305mm,968000.0000000001,C,RUTIN,0,0
CONVEYOR ACC;IMPACT IDLER 115X315X345mm,1366200,C,NON RUTIN,0,0
CONVEYOR ACC;IMPACT IDLER 115X600X640mm,1301300,C,NON RUTIN,0,0
CONVEYOR ACC;IMPACT IDLER 140X350X390mm,1300200,C,NON RUTIN,0,0
CONVEYOR ACC;IMPACT IDLER 140X450X490mm,2043800.0000000002,C,NON RUTIN,0,0
CONVEYOR ACC;IMPACT IDLER 140X900X940mm,2626800,C,NON RUTIN,0,0
CONVEYOR ACC;PSK 250 IDLER 89X165X195mm,528000,C,NON RUTIN,0,0
CONVEYOR ACC;PSK 350 IDLER 89X210X240mm,5260000,C,RUTIN,40,11.333333333333334
CONVEYOR ACC;RTRN IDLER 140X1100X1162mm,3236200.0000000005,C,NON RUTIN,0,0
CONVEYOR ACC;RTRN IDLER 140X1300X1362mm,3581600.0000000005,C,NON RUTIN,0,0
CONVEYOR ACC;RTRN IDLER 140X1400X1462mm,3685000.0000000005,C,NON RUTIN,0,0
CONVEYOR ACC;SINK IDLER 139X1100X1162mm,2719200,C,NON RUTIN,0,0
CONVEYOR ACC;SINK IDLER 139X1300X1362mm,3096500.0000000005,C,NON RUTIN,0,0
CONVEYOR ACC;TROUGH IDLER 114X120X160mm,731500.0000000001,C,NON RUTIN,0,0
CONVEYOR ACC;TROUGH IDLER 139X180X220mm,1097800,C,NON RUTIN,0,0
CONVEYOR ACC;TROUGH IDLER 140X180X220mm,1144000,C,NON RUTIN,0,0
CONVEYOR ACC;PULLEY 55mm,5720000,C,NON RUTIN,0,0
CONVEYOR ACC;BELT NN 800.1400WX4PX6/3,2062500.0000000002,C,NON RUTIN,0,0
CONVEYOR ACC;RTRN IDLER 115X900X955mm,1515000,C,NON RUTIN,0,0
CONVEYOR ACC;HOPPER TRANS 1220X2236mm,390000000,C,NON RUTIN,0,0
UNIV ACC;HEAD SHAFT 220-2744L,122265000,B,NON RUTIN,0,0
CONVEYOR ACC;CHAIN SCREW 800X150X150MM,11929500.000000002,C,NON RUTIN,0,0
CONVEYOR ACC;BELT 900WX3PX10MMX17M,25400000,B,RUTIN,1,0.2833333333333333
CONVEYOR ACC;BELT 900WX3PX10MMX14.5M,16555000,B,NON RUTIN,0,0
CONVEYOR ACC;BELT 900WX2PX10MMX17M,49500000,B,NON RUTIN,0,0
CONVEYOR ACC;FRAME ROLL PSK 350,940000,C,NON RUTIN,0,0
UNIV ACC;BOSS BRACKET 540X215X250L,32422500,B,NON RUTIN,0,0
CONVEYOR ACC;CARRIER IDLER 114X265X20MM,581000,C,NON RUTIN,0,0
CONVEYOR ACC;CARRIER IDLER 139X370X25MM,1000000,C,NON RUTIN,0,0
CONVEYOR ACC;GEAR MOTOR THM861813,160622000,C,NON RUTIN,0,0
CONVEYOR ACC;SIDE ROLLER 85X120X60X25MM,355000,C,NON RUTIN,0,0
CONVEYOR ACC;CARRIER IDLER 140X260X310m,704000,C,NON RUTIN,0,0
CONVEYOR ACC;FRAME IDLER 430,4150000,C,NON RUTIN,0,0
CONVEYOR ACC;FRAME ROLL CARRIER A2BC,5810000,C,NON RUTIN,0,0
